LITERAL GLOBAL ALPHABET
lan=ar; r=3
testfile 0,  0.9492,0.99455,0.9784,0.97405
testfile 1,  0.9614,0.99955,0.9788,0.979916666666667
testfile 2,  0.9516,0.99995,0.9756,0.975716666666667
mean, 0.976561111111111 

lan=ar; r=4
testfile 0,  0.84705,0.93,0.8866,0.887883333333333
testfile 1,  0.8628,0.905,0.87085,0.87955
testfile 2,  0.8508,0.945,0.8829,0.8929
mean, 0.886777777777778 

lan=ar; r=5
testfile 0,  0.71155,0.75,0.74155,0.734366666666667
testfile 1,  0.6959,0.735,0.705,0.711966666666667
testfile 2,  0.7128,0.75,0.71,0.724266666666667
mean, 0.723533333333333 

lan=de; r=3
testfile 0,  0.74765,0.8083,0.75795,0.7713
testfile 1,  0.71405,0.82665,0.72555,0.755416666666667
testfile 2,  0.74885,0.81355,0.7184,0.760266666666667
mean, 0.762327777777778 

lan=de; r=4
testfile 0,  0.73855,0.82805,0.8,0.788866666666667
testfile 1,  0.72605,0.7847,0.7526,0.75445
testfile 2,  0.7387,0.83415,0.7953,0.789383333333333
mean, 0.777566666666667 

lan=de; r=5
testfile 0,  0.6725,0.7432,0.72445,0.713383333333333
testfile 1,  0.6466,0.717,0.6873,0.683633333333333
testfile 2,  0.67235,0.73175,0.68955,0.697883333333333
mean, 0.6983 

lan=el; r=3
testfile 0,  0.9557,0.99205,0.985,0.977583333333333
testfile 1,  0.952,0.99505,0.9846,0.977216666666667
testfile 2,  0.95275,0.99865,0.9796,0.977
mean, 0.977266666666667 

lan=el; r=4
testfile 0,  0.84855,0.92635,0.89,0.8883
testfile 1,  0.8631,0.9008,0.875,0.879633333333333
testfile 2,  0.85375,0.945,0.885,0.894583333333333
mean, 0.887505555555556 

lan=el; r=5
testfile 0,  0.71155,0.75,0.745,0.735516666666667
testfile 1,  0.69445,0.735,0.705,0.711483333333333
testfile 2,  0.72,0.75,0.71,0.726666666666667
mean, 0.724555555555556 

lan=en; r=3
testfile 0,  0.74165,0.7791,0.64475,0.721833333333333
testfile 1,  0.72505,0.79145,0.6379,0.718133333333333
testfile 2,  0.69785,0.72445,0.6232,0.681833333333333
mean, 0.707266666666667 

lan=en; r=4
testfile 0,  0.7527,0.83585,0.7405,0.77635
testfile 1,  0.7291,0.77725,0.66945,0.725266666666667
testfile 2,  0.69875,0.7644,0.6657,0.709616666666667
mean, 0.737077777777778 

lan=en; r=5
testfile 0,  0.673,0.7192,0.7019,0.698033333333333
testfile 1,  0.65755,0.7206,0.65275,0.676966666666667
testfile 2,  0.66525,0.6866,0.65645,0.669433333333333
mean, 0.681477777777778 

lan=eo; r=3
testfile 0,  0.5,0.5,0.5,0.5
testfile 1,  0.5,0.5,0.5,0.5
testfile 2,  0.5,0.5,0.5,0.5
mean, 0.5 

lan=eo; r=4
testfile 0,  0.5,0.5,0.5,0.5
testfile 1,  0.5,0.5,0.5,0.5
testfile 2,  0.5,0.5,0.5,0.5
mean, 0.5 

lan=eo; r=5
testfile 0,  0.5,0.5,0.5,0.5
testfile 1,  0.5,0.5,0.5,0.5
testfile 2,  0.5,0.5,0.5,0.5
mean, 0.5 

lan=fr; r=3
testfile 0,  0.7211,0.7571,0.7107,0.729633333333333
testfile 1,  0.6898,0.74105,0.7084,0.713083333333333
testfile 2,  0.71735,0.7548,0.7071,0.726416666666667
mean, 0.723044444444444 

lan=fr; r=4
testfile 0,  0.68615,0.7507,0.741,0.72595
testfile 1,  0.6877,0.67645,0.6664,0.67685
testfile 2,  0.68,0.7452,0.693,0.706066666666667
mean, 0.702955555555556 

lan=fr; r=5
testfile 0,  0.65905,0.66545,0.68155,0.668683333333333
testfile 1,  0.6374,0.60925,0.63095,0.625866666666667
testfile 2,  0.671,0.6478,0.6426,0.6538
mean, 0.64945 

lan=hi; r=3
testfile 0,  0.98,0.9943,0.97345,0.982583333333333
testfile 1,  0.985,0.99865,0.96945,0.984366666666667
testfile 2,  0.985,0.99905,0.96715,0.983733333333333
mean, 0.983561111111111 

lan=hi; r=4
testfile 0,  0.865,0.9283,0.8865,0.893266666666667
testfile 1,  0.88,0.9029,0.8656,0.882833333333333
testfile 2,  0.87,0.945,0.8787,0.8979
mean, 0.891333333333333 

lan=hi; r=5
testfile 0,  0.715,0.75,0.745,0.736666666666667
testfile 1,  0.7,0.735,0.705,0.713333333333333
testfile 2,  0.72,0.75,0.71,0.726666666666667
mean, 0.725555555555556 

lan=la; r=3
testfile 0,  0.7206,0.76375,0.7001,0.72815
testfile 1,  0.6884,0.76165,0.69255,0.7142
testfile 2,  0.67875,0.7673,0.6853,0.71045
mean, 0.7176 

lan=la; r=4
testfile 0,  0.7292,0.78105,0.7376,0.749283333333333
testfile 1,  0.6762,0.70465,0.64465,0.675166666666667
testfile 2,  0.66,0.7873,0.67405,0.707116666666667
mean, 0.710522222222222 

lan=la; r=5
